,mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin
0,18.0,1.496307924470656,1.0892327311042995,0.6722714619460141,0.6300768256149949,-1.2938698102195594,70,1
1,15.0,1.496307924470656,1.5016242793620063,1.5879594901955474,0.8532590135498572,-1.4751810504376373,70,1
2,18.0,1.496307924470656,1.1947282434492943,1.19552176380289,0.5497784722839334,-1.6564922906557151,70,1
3,16.0,1.496307924470656,1.060461227737483,1.19552176380289,0.5462358978722689,-1.2938698102195594,70,1
4,17.0,1.496307924470656,1.0412802254929383,0.9338966128744521,0.5651296280678128,-1.8378035308737928,70,1
5,15.0,1.496307924470656,2.2592738680215136,2.4513224882593927,1.618455086469385,-2.019114771091871,70,1
6,14.0,1.496307924470656,2.49903639607832,3.0268978203019565,1.6338062422532644,-2.381737251528026,70,1
7,14.0,1.496307924470656,2.3647693803665084,2.8960852448377374,1.5842102004899616,-2.563048491746104,70,1
8,14.0,1.496307924470656,2.5086268972005925,3.1577103957661756,1.7176471699959905,-2.019114771091871,70,1
9,15.0,1.496307924470656,1.885244324252896,2.2420223675166424,1.0386537410936316,-2.563048491746104,70,1
10,15.0,1.496307924470656,1.8181108163969903,1.7187720656597663,0.699747455711063,-2.019114771091871,70,1
11,14.0,1.496307924470656,1.4057192681392838,1.4571469147313283,0.7540669300232518,-2.744359731964182,70,1
12,15.0,1.496307924470656,1.9811493354756187,1.19552176380289,0.9335573668809187,-2.2004260113099483,70,1
13,14.0,1.496307924470656,2.5086268972005925,3.1577103957661756,0.13647812425641062,-2.019114771091871,70,1
14,24.0,-0.8552441147764164,-0.7713244866165163,-0.24341656630351913,-0.7066545857197358,-0.2060023689110927,70,3
15,22.0,0.32053190484711985,0.043868108776624684,-0.24341656630351913,-0.16227898446062727,-0.024691128693014885,70,1
16,18.0,0.32053190484711985,0.05345860989889693,-0.19109153611783153,-0.23194961455669538,-0.024691128693014885,70,1
17,21.0,0.32053190484711985,0.06304911102116918,-0.5050417172319572,-0.4527700862171147,0.15662011152506292,70,1
18,27.0,-0.8552441147764164,-0.9247725045728723,-0.42655417195342576,-0.9924222549273373,-0.38731360912917046,70,3
19,26.0,-0.8552441147764164,-0.9247725045728723,-1.5253798058528656,-1.340775405407678,1.7884212734877631,70,2
20,25.0,-0.8552441147764164,-0.8000959899833331,-0.45271668704626955,-0.35239714455328774,0.7005538321792963,70,2
21,24.0,-0.8552441147764164,-0.8288674933501498,-0.37422914176773814,-0.6381648137608892,-0.38731360912917046,70,2
22,25.0,-0.8552441147764164,-0.8576389967169665,-0.24341656630351913,-0.7031120113080713,0.7005538321792963,70,2
23,26.0,-0.8552441147764164,-0.6946004776383383,0.22750870536766937,-0.8696130086563019,-1.1125585700014817,70,2
24,21.0,0.32053190484711985,0.05345860989889693,-0.37422914176773814,-0.3807377398466036,-0.2060023689110927,70,1
25,10.0,1.496307924470656,1.5975292905847287,2.8960852448377374,1.9420102160680743,-0.5686248493472483,70,1
26,10.0,1.496307924470656,1.0892327311042995,2.5036475184450806,1.6597851212721373,-0.2060023689110927,70,1
27,11.0,1.496307924470656,1.1947282434492943,2.7652726693735183,1.6668702700954663,-0.7499360895653261,70,1
28,9.0,1.496307924470656,1.060461227737483,2.320509912795174,2.080170618122989,1.0631763126154519,70,1
29,27.0,-0.8552441147764164,-0.9247725045728723,-0.42655417195342576,-0.9924222549273373,-0.38731360912917046,71,3
30,28.0,-0.8552441147764164,-0.5123809563151657,-0.37422914176773814,-0.8341872645396571,-0.024691128693014885,71,1
31,25.0,-0.8552441147764164,-0.7713244866165163,-0.24341656630351913,-0.8766981574796309,-0.5686248493472483,71,3
32,25.0,-0.8552441147764164,-0.9151820034506,-0.28266033894278486,-1.0916143384539427,1.2444875528335297,71,1
33,19.0,0.32053190484711985,0.3699451469338811,-0.1126039908393001,-0.39726975376770446,-0.9312473297834039,71,1
34,16.0,0.32053190484711985,0.30281163907797537,0.018208584624918932,0.5533210466955979,-0.024691128693014885,71,1
35,17.0,0.32053190484711985,0.5425741671347816,-0.1126039908393001,0.42342665160123355,-0.024691128693014885,71,1
36,19.0,0.32053190484711985,0.5425741671347816,-0.42655417195342576,0.3915434818962532,-0.024691128693014885,71,1
37,18.0,0.32053190484711985,0.3699451469338811,-0.1126039908393001,0.37501146797515233,-0.024691128693014885,71,1
38,14.0,1.496307924470656,1.5016242793620063,1.5879594901955474,1.4625818123561478,-1.2938698102195594,71,1
39,14.0,1.496307924470656,1.9811493354756187,1.8495846411239854,1.7637006373476287,-1.4751810504376373,71,1
40,14.0,1.496307924470656,1.5112147804842784,1.2740093090814215,1.3976346148089658,-0.7499360895653261,71,1
41,14.0,1.496307924470656,1.1947282434492943,1.19552176380289,1.3291448428501191,-0.9312473297834039,71,1
42,12.0,1.496307924470656,1.8181108163969903,1.9803972165882044,2.343501982723382,-1.4751810504376373,71,1
